KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
1,25,0.0,0,0.04094442566751968,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false
2,25,0.0,0,0.027757487216946677,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,true
3,25,0.0,0,0.06393736017897092,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false
4,25,0.0,0,0.07957467207042315,true,true,true,true,true,false,true,false,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true
5,25,0.0,0,0.06471653089772073,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,true
6,25,0.0,0,0.05470661557638151,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false
7,25,0.0,0,0.03289525458408751,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true
8,25,0.0,0,0.06399146780429277,true,true,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false
9,25,0.0,0,0.015950705764104355,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true
10,25,0.0,0,0.03830988439824357,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true
11,25,0.0,0,0.0021492537313432835,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true
12,25,0.0,0,0.08319911841993727,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true
13,25,0.0,0,0.07399456132818091,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true
14,25,0.0,0,0.07556955889481339,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false
15,25,0.0,0,0.039198336504003894,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true
16,25,0.0,0,0.056963530027102846,true,true,true,true,false,false,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true
17,25,0.0,0,0.08292126283758083,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true
18,25,0.0,0,0.08124846399606783,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true
19,25,0.0,0,0.06424291570933009,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true
20,25,0.0,0,0.021499030435882305,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false
21,25,0.0,0,0.027764499681325685,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true
22,25,0.0,0,0.0681058853765099,true,false,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true
23,25,0.0,0,0.003117571411870153,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false
