KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,0.0,0,0.04441108400575468,true,true,false,true,true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,true,false,true,false
2,30,0.0,0,0.0,true,true,true,true,false,false,true,true,false,true,true,false,false,true,true,false,false,true,true,true,true,false,true,false,false,true,true,false,true,false
3,30,0.0,0,0.0,false,true,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,false,true
4,30,0.0,0,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,30,0.0,0,0.0017305953764690687,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false
6,30,0.0,0,0.009985940372760373,false,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false,true,false,false,true,true
7,30,0.0,0,0.0,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,false,true,true,true,false,true,true,true,true,false
8,30,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,false,true,false,true
9,30,0.0,0,0.0,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false
10,30,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11,30,0.0,0,0.030120830201769092,false,false,false,false,true,true,false,false,true,true,true,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true
